frame,t,w_y8,l_y8,r_y8,w_y20,l_y20,r_y20,w_y35,l_y35,r_y35,w_y55,l_y55,r_y55,w_y75,l_y75,r_y75,w_y95,l_y95,r_y95,w_y115,l_y115,r_y115,center_dark_bottom
58,0.9667,413,596,1008,411,598,1008,411,598,1008,409,599,1007,1636,0,1635,0,,,0,,,90
59,0.9833,413,596,1008,411,598,1008,411,598,1008,409,599,1007,1636,0,1635,0,,,0,,,90
60,1.0,414,596,1009,414,596,1009,414,596,1009,410,598,1007,1636,0,1635,0,,,0,,,90
61,1.0167,415,596,1010,412,598,1009,412,598,1009,410,598,1007,1636,0,1635,0,,,0,,,90
62,1.0333,415,596,1010,412,598,1009,412,598,1009,410,598,1007,1636,0,1635,0,,,0,,,90
63,1.05,415,596,1010,412,598,1009,412,598,1009,410,598,1007,1636,0,1635,0,,,0,,,90
64,1.0667,414,596,1009,412,598,1009,412,598,1009,410,598,1007,1636,0,1635,0,,,0,,,90
65,1.0833,414,596,1009,412,598,1009,412,598,1009,410,598,1007,1636,0,1635,0,,,0,,,90
66,1.1,414,596,1009,412,598,1009,412,598,1009,409,599,1007,1636,0,1635,0,,,0,,,90
67,1.1167,413,597,1009,412,598,1009,412,598,1009,409,599,1007,1636,0,1635,0,,,0,,,90
68,1.1333,413,597,1009,412,598,1009,412,598,1009,408,599,1006,1636,0,1635,0,,,0,,,90
69,1.15,413,597,1009,412,598,1009,412,598,1009,409,599,1007,1636,0,1635,0,,,0,,,90
70,1.1667,412,598,1009,412,598,1009,412,598,1009,408,599,1006,1636,0,1635,0,,,0,,,90
71,1.1833,412,597,1008,412,598,1009,412,598,1009,408,599,1006,1636,0,1635,0,,,0,,,90
72,1.2,412,597,1008,412,598,1009,412,598,1009,409,599,1007,1636,0,1635,0,,,0,,,90
73,1.2167,413,597,1009,412,598,1009,412,598,1009,409,599,1007,1636,0,1635,0,,,0,,,90
74,1.2333,413,597,1009,412,598,1009,412,598,1009,409,599,1007,1636,0,1635,0,,,0,,,90
75,1.25,413,597,1009,412,598,1009,412,598,1009,408,599,1006,1636,0,1635,0,,,0,,,90
76,1.2667,413,597,1009,412,598,1009,412,598,1009,408,599,1006,1636,0,1635,0,,,0,,,90
77,1.2833,413,597,1009,412,598,1009,412,598,1009,408,599,1006,1636,0,1635,0,,,0,,,90
78,1.3,413,597,1009,412,598,1009,412,598,1009,408,599,1006,1636,0,1635,0,,,0,,,90
79,1.3167,413,597,1009,412,598,1009,412,598,1009,408,599,1006,1636,0,1635,0,,,0,,,90
80,1.3333,413,597,1009,412,598,1009,412,598,1009,408,599,1006,1636,0,1635,0,,,0,,,90
81,1.35,413,597,1009,412,598,1009,412,598,1009,408,599,1006,1636,0,1635,0,,,0,,,90
82,1.3667,413,597,1009,412,598,1009,412,598,1009,408,599,1006,1636,0,1635,0,,,0,,,90
83,1.3833,413,597,1009,412,598,1009,412,598,1009,408,599,1006,1636,0,1635,0,,,0,,,90
84,1.4,414,596,1009,412,598,1009,412,598,1009,408,599,1006,1636,0,1635,0,,,0,,,90
85,1.4167,414,596,1009,412,598,1009,412,598,1009,408,599,1006,1636,0,1635,0,,,0,,,90
86,1.4333,415,595,1009,414,596,1009,414,596,1009,409,598,1006,1636,0,1635,0,,,0,,,90
87,1.45,422,592,1013,420,594,1013,420,594,1013,418,594,1011,1636,0,1635,0,,,0,,,90
88,1.4667,438,584,1021,436,586,1021,436,586,1021,433,586,1018,1636,0,1635,0,,,0,,,90
89,1.4833,459,573,1031,457,575,1031,457,575,1031,456,575,1030,1636,0,1635,0,,,0,,,90
90,1.5,478,564,1041,478,564,1041,477,565,1041,475,565,1039,1636,0,1635,439,583,1021,0,,,98
91,1.5167,531,538,1068,530,540,1069,527,539,1065,526,540,1065,1636,0,1635,517,544,1060,483,561,1043,119
92,1.5333,531,538,1068,530,540,1069,527,539,1065,526,540,1065,1636,0,1635,517,544,1060,483,561,1043,119
93,1.55,576,520,1095,570,518,1087,572,516,1087,570,518,1087,1636,0,1635,76,796,871,543,531,1073,134
94,1.5667,590,512,1101,593,504,1096,590,504,1093,582,512,1093,1636,0,1635,305,784,1088,567,519,1085,141
95,1.5833,616,494,1109,601,497,1097,598,496,1093,603,496,1098,1636,0,1635,584,510,1093,36,795,830,147
96,1.6,620,490,1109,614,486,1099,622,478,1099,609,492,1100,1636,0,1635,597,504,1100,26,801,826,154
97,1.6167,632,486,1117,622,482,1103,624,480,1103,616,488,1103,1636,0,1635,605,500,1104,28,800,827,156
98,1.6333,653,467,1119,632,476,1107,640,468,1107,630,478,1107,1636,0,1635,615,495,1109,11,818,828,159
99,1.65,665,456,1120,640,470,1109,638,472,1109,634,476,1109,1636,0,1635,619,493,1111,13,817,829,159
100,1.6667,663,458,1120,646,466,1111,565,547,1111,565,548,1112,1636,0,1635,621,492,1112,34,797,830,159
101,1.6833,679,448,1126,567,547,1113,477,551,1027,562,552,1113,1089,547,1635,623,491,1113,35,796,830,159
102,1.7,664,458,1121,564,550,1113,475,554,1028,559,555,1113,1087,549,1635,625,490,1114,36,796,831,159
103,1.7167,664,458,1121,561,553,1113,474,557,1030,556,558,1113,1084,552,1635,625,490,1114,36,796,831,159
104,1.7333,664,458,1121,557,557,1113,473,560,1032,553,561,1113,1083,553,1635,625,490,1114,36,796,831,159
105,1.75,666,458,1123,552,561,1112,472,564,1035,549,564,1112,1078,558,1635,623,491,1113,37,796,832,159
106,1.7667,664,458,1121,550,563,1112,472,566,1037,547,566,1112,1076,560,1635,623,491,1113,37,796,832,159
107,1.7833,665,458,1122,547,565,1111,472,568,1039,544,568,1111,1075,561,1635,621,492,1112,37,796,832,159
108,1.8,666,460,1125,546,566,1111,472,569,1040,543,569,1111,1074,562,1635,621,492,1112,37,796,832,159
109,1.8167,646,476,1121,544,567,1110,472,570,1041,541,570,1110,1074,562,1635,621,492,1112,37,796,832,159
110,1.8333,646,474,1119,542,569,1110,471,572,1042,539,572,1110,1072,564,1635,619,493,1111,37,796,832,159
111,1.85,651,474,1124,540,570,1109,471,573,1043,538,573,1110,1071,565,1635,619,493,1111,37,796,832,159
