frame,t,w_y8,l_y8,r_y8,w_y20,l_y20,r_y20,w_y35,l_y35,r_y35,w_y55,l_y55,r_y55,w_y75,l_y75,r_y75,w_y95,l_y95,r_y95,w_y115,l_y115,r_y115,center_dark_bottom
50,0.8333,593,507,1099,517,580,1096,451,580,1030,522,575,1096,1636,0,1635,0,,,0,,,90
51,0.85,593,507,1099,517,580,1096,451,580,1030,522,575,1096,1636,0,1635,0,,,0,,,90
52,0.8667,593,507,1099,517,580,1096,451,580,1030,522,575,1096,1636,0,1635,0,,,0,,,90
53,0.8833,593,507,1099,517,580,1096,451,580,1030,522,575,1096,1636,0,1635,0,,,0,,,90
54,0.9,593,507,1099,517,580,1096,451,580,1030,522,575,1096,1636,0,1635,0,,,0,,,90
55,0.9167,593,507,1099,517,580,1096,451,580,1030,522,575,1096,1636,0,1635,0,,,0,,,90
56,0.9333,593,507,1099,517,580,1096,451,580,1030,522,575,1096,1636,0,1635,0,,,0,,,90
57,0.95,593,507,1099,517,580,1096,451,580,1030,522,575,1096,1636,0,1635,0,,,0,,,90
58,0.9667,593,507,1099,517,580,1096,451,580,1030,522,575,1096,1636,0,1635,0,,,0,,,90
59,0.9833,593,507,1099,517,580,1096,451,580,1030,522,575,1096,1636,0,1635,0,,,0,,,90
60,1.0,598,506,1103,518,580,1097,451,580,1030,522,576,1097,1636,0,1635,0,,,0,,,90
61,1.0167,592,508,1099,518,580,1097,451,580,1030,522,576,1097,1636,0,1635,0,,,0,,,90
62,1.0333,592,508,1099,518,580,1097,451,580,1030,522,576,1097,1636,0,1635,0,,,0,,,90
63,1.05,592,508,1099,518,580,1097,451,580,1030,522,576,1097,1636,0,1635,0,,,0,,,90
64,1.0667,592,508,1099,517,580,1096,451,580,1030,522,576,1097,1636,0,1635,0,,,0,,,90
65,1.0833,592,508,1099,517,580,1096,451,580,1030,522,576,1097,1636,0,1635,0,,,0,,,90
66,1.1,592,508,1099,517,580,1096,451,580,1030,522,576,1097,1636,0,1635,0,,,0,,,90
67,1.1167,592,508,1099,518,580,1097,451,580,1030,522,576,1097,1636,0,1635,0,,,0,,,90
68,1.1333,592,508,1099,517,580,1096,451,580,1030,522,576,1097,1636,0,1635,0,,,0,,,90
69,1.15,592,508,1099,517,580,1096,451,580,1030,521,576,1096,1636,0,1635,0,,,0,,,90
70,1.1667,592,508,1099,517,580,1096,451,580,1030,522,575,1096,1636,0,1635,0,,,0,,,90
71,1.1833,592,508,1099,517,580,1096,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
72,1.2,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
73,1.2167,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
74,1.2333,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
75,1.25,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
76,1.2667,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
77,1.2833,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
78,1.3,592,508,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
79,1.3167,592,508,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
80,1.3333,592,508,1099,518,580,1097,451,580,1030,522,575,1096,1636,0,1635,0,,,0,,,90
81,1.35,592,508,1099,518,580,1097,451,580,1030,522,575,1096,1636,0,1635,0,,,0,,,90
82,1.3667,592,508,1099,518,580,1097,451,580,1030,522,575,1096,1636,0,1635,0,,,0,,,90
83,1.3833,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
84,1.4,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
85,1.4167,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
86,1.4333,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
87,1.45,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
88,1.4667,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
89,1.4833,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
90,1.5,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
91,1.5167,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
92,1.5333,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
93,1.55,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
94,1.5667,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
95,1.5833,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
96,1.6,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
97,1.6167,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
98,1.6333,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
99,1.65,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
100,1.6667,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
101,1.6833,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
102,1.7,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
103,1.7167,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
104,1.7333,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
105,1.75,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
106,1.7667,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
107,1.7833,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
108,1.8,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
109,1.8167,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
110,1.8333,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
111,1.85,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
112,1.8667,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
113,1.8833,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
114,1.9,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
115,1.9167,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
116,1.9333,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
117,1.95,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
118,1.9667,593,507,1099,518,580,1097,451,580,1030,522,576,1097,1636,0,1635,0,,,0,,,90
119,1.9833,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
120,2.0,594,506,1099,518,580,1097,450,580,1029,522,576,1097,1636,0,1635,0,,,0,,,90
121,2.0167,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
122,2.0333,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
123,2.05,593,507,1099,517,580,1096,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
124,2.0667,593,507,1099,517,580,1096,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
125,2.0833,593,507,1099,517,580,1096,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
126,2.1,593,507,1099,517,580,1096,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
127,2.1167,593,507,1099,517,580,1096,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
128,2.1333,592,508,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
129,2.15,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
130,2.1667,592,508,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
131,2.1833,592,508,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
132,2.2,592,508,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
133,2.2167,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
134,2.2333,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
135,2.25,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
136,2.2667,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
